timestamp,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_volume,taker_buy_quote_volume
1729468800000,69032.00000000,69519.52000000,65260.00000000,66668.65000000,81503.62522000,1729727999999,5480220816.12600000,11163433,37882.46680000,2547406282.77144410,0
1729728000000,66668.65000000,68850.00000000,65596.29000000,67092.76000000,68912.45772000,1729987199999,4640290803.35408390,11503556,33602.80700000,2263653635.83300400,0
1729987200000,67092.76000000,73620.12000000,66913.73000000,72736.42000000,87828.55645000,1730246399999,6192577865.17968320,11849865,46534.55112000,3282914547.59130250,0
1730246400000,72736.41000000,72961.00000000,68820.14000000,69496.01000000,94539.96108000,1730505599999,6709713536.78794150,13135547,45736.51532000,3247610412.35631200,0
1730505600000,69496.00000000,69914.37000000,66835.00000000,67850.01000000,65317.76673000,1730764799999,4474800941.04013320,10648638,32432.32967000,2222567355.47944370,0
1730764800000,67850.01000000,76849.99000000,67476.63000000,75857.89000000,182351.48601200,1731023999999,13404498840.29988606,18597550,92109.23135200,6768611723.45724966,0
1731024000000,75857.89000000,81500.00000000,75555.00000000,80370.01000000,115293.27916800,1731283199999,8984599573.03514502,14591351,58339.19908000,4550457246.73184630,0
1731283200000,80370.01000000,93265.64000000,80216.01000000,90375.20000000,266387.40781400,1731542399999,23275282238.26557812,32810048,136768.95809200,11951037667.60276062,0
1731542400000,90375.21000000,91850.00000000,86668.21000000,90586.92000000,127375.33843000,1731801599999,11418058299.01494150,22077424,64237.78053000,5759053693.28570860,0
1731801600000,90587.98000000,93905.51000000,88722.00000000,92310.79000000,114072.63739000,1732060799999,10418890178.32190274,17739633,57609.50597400,5263554853.10637744,0
1732060800000,92310.80000000,99588.01000000,91500.00000000,98892.00000000,157620.86843200,1732319999999,15229276996.33492949,23685903,78559.03938200,7593451294.21227309,0
1732320000000,98892.00000000,98908.85000000,92600.19000000,93010.01000000,106806.27301000,1732579199999,10349226684.60349620,17093549,49787.29751000,4824369390.29824960,0
1732579200000,93010.01000000,97208.21000000,90791.10000000,95643.98000000,127826.70229000,1732838399999,12015138751.69534180,21862660,64242.54331000,6038016054.47192140,0
1732838400000,95643.99000000,98619.99000000,95364.99000000,97185.18000000,59144.21989000,1733097599999,5734451607.94032880,11791029,29031.02244000,2814922630.48072480,0
1733097600000,97185.17000000,99000.00000000,93578.17000000,98587.32000000,117636.52992000,1733356799999,11302629697.54235000,19570539,58194.64606000,5593205231.11117970,0
1733356800000,98587.32000000,104088.00000000,90500.00000000,99831.99000000,169903.20866200,1733615999999,16992598474.35292068,21566032,85011.25251600,8508167754.61415120,0
1733616000000,99831.99000000,101351.00000000,94150.05000000,96593.00000000,120270.80216000,1733875199999,11731864137.20022840,22996770,57147.98236000,5577632648.62670300,0
1733875200000,96593.00000000,102540.00000000,95658.24000000,101424.25000000,88889.90959000,1734134399999,8899069739.95872090,21798493,43957.82585000,4401851662.51698680,0
1734134400000,101424.24000000,107793.07000000,100609.41000000,106058.66000000,77723.02777500,1734393599999,8097021671.51666331,15061401,39808.24061500,4146144201.68710961,0
1734393600000,106058.65000000,108353.00000000,95700.00000000,97461.86000000,134520.33201600,1734652799999,13785643161.74209591,23248860,64394.33284600,6600007358.72798431,0
1734652800000,97461.86000000,99540.61000000,92232.54000000,95186.27000000,105721.50749000,1734911999999,10176897160.38865220,14780196,50483.56889000,4861753635.84766200,0
1734912000000,95186.28000000,99569.15000000,92520.00000000,99429.60000000,70959.15701000,1735171199999,6813365614.25040270,12169496,35315.36395000,3391970520.91388100,0
1735171200000,99429.61000000,99963.70000000,93500.01000000,95300.00000000,56079.52446000,1735430399999,5372343042.00118930,13654417,27220.98782000,2607980697.31522980,0
1735430400000,95300.00000000,96250.00000000,91530.45000000,93576.00000000,60807.46217000,1735689599999,5697215725.66902910,11774248,28431.55010000,2664121013.96047060,0
1735689600000,93576.00000000,98976.91000000,92888.00000000,98174.18000000,47597.64497000,1735948799999,4580466815.41006950,7936799,23732.31431000,2282927992.87082120,0
1735948800000,98174.17000000,98778.43000000,97276.79000000,98071.56000000,15143.50179000,1736207999999,1483897819.01492700,2853587,7226.19263000,708159244.02814910,0
